Surname        Name           ND1  ND2  ND3  ND4  ND5  Exam     
Surname634     Name634        2    6    2    7    4    1        
Surname635     Name635        2    4    5    5    3    6        
Surname636     Name636        4    10   7    7    3    1        
Surname637     Name637        1    10   1    6    5    8        
Surname638     Name638        6    6    10   8    5    8        
Surname639     Name639        3    3    7    4    4    6        
Surname640     Name640        8    9    7    3    8    9        
Surname641     Name641        9    2    10   3    1    1        
Surname642     Name642        7    6    5    1    2    3        
Surname643     Name643        3    5    2    5    6    8        
Surname644     Name644        9    8    6    8    1    1        
Surname645     Name645        3    5    2    3    10   8        
Surname646     Name646        3    9    3    5    7    7        
Surname647     Name647        6    1    4    4    1    8        
Surname648     Name648        3    9    7    4    10   5        
Surname649     Name649        6    6    7    6    8    6        
Surname650     Name650        10   9    3    10   3    6        
Surname651     Name651        1    8    4    9    3    9        
Surname652     Name652        10   7    2    7    3    10       
Surname653     Name653        4    10   7    7    9    7        
Surname654     Name654        1    1    4    5    3    3        
Surname655     Name655        2    4    8    9    2    6        
Surname656     Name656        6    10   6    2    2    7        
Surname657     Name657        10   5    10   3    10   6        
Surname658     Name658        3    10   3    1    9    10       
Surname659     Name659        4    1    4    3    10   2        
Surname660     Name660        3    3    7    5    8    1        
Surname661     Name661        5    3    6    9    6    3        
Surname662     Name662        2    9    7    7    2    2        
Surname663     Name663        1    3    8    10   8    8        
Surname664     Name664        4    4    6    2    4    6        
Surname665     Name665        10   3    6    6    7    2        
Surname666     Name666        3    10   5    6    3    10       
Surname667     Name667        1    4    4    6    8    1        
Surname668     Name668        6    7    8    2    3    6        
Surname669     Name669        2    8    8    2    6    3        
Surname670     Name670        6    7    7    1    2    2        
Surname671     Name671        9    4    9    7    6    9        
Surname672     Name672        4    3    10   4    9    9        
Surname673     Name673        5    2    7    8    9    4        
Surname674     Name674        10   6    1    1    2    4        
Surname675     Name675        9    9    4    8    4    6        
Surname676     Name676        6    6    5    3    2    8        
Surname677     Name677        3    5    2    3    5    9        
Surname678     Name678        9    9    6    2    7    8        
Surname679     Name679        1    5    1    1    10   8        
Surname680     Name680        10   5    6    1    10   6        
Surname681     Name681        7    7    6    3    6    6        
Surname682     Name682        4    10   4    4    1    6        
Surname683     Name683        4    2    6    1    6    7        
Surname684     Name684        1    8    2    4    6    3        
Surname685     Name685        4    10   8    6    4    10       
Surname686     Name686        3    4    6    10   8    7        
Surname687     Name687        9    3    9    9    1    6        
Surname688     Name688        9    5    10   9    9    4        
Surname689     Name689        5    10   6    7    8    4        
Surname690     Name690        4    1    8    5    2    8        
Surname691     Name691        1    3    2    9    6    9        
Surname692     Name692        2    8    4    8    3    5        
Surname693     Name693        1    9    8    5    1    5        
Surname694     Name694        8    2    8    3    3    8        
Surname695     Name695        1    8    10   1    4    1        
Surname696     Name696        2    4    8    2    6    5        
Surname697     Name697        5    5    10   4    1    1        
Surname698     Name698        4    4    5    9    8    4        
Surname699     Name699        3    9    4    5    9    4        
Surname700     Name700        10   5    2    2    5    8        
Surname701     Name701        2    8    7    4    3    8        
Surname702     Name702        1    2    7    4    3    2        
Surname703     Name703        1    8    5    10   5    10       
Surname704     Name704        9    4    5    7    5    6        
Surname705     Name705        1    3    9    2    10   6        
Surname706     Name706        4    10   10   10   7    6        
Surname707     Name707        3    1    6    3    4    10       
Surname708     Name708        8    9    4    6    3    8        
Surname709     Name709        6    7    3    5    7    8        
Surname710     Name710        1    6    1    4    5    2        
Surname711     Name711        7    5    2    5    3    7        
Surname712     Name712        10   9    5    3    7    9        
Surname713     Name713        2    4    3    6    3    1        
Surname714     Name714        4    5    2    10   5    10       
Surname715     Name715        8    8    1    7    5    5        
Surname716     Name716        1    9    4    1    9    7        
Surname717     Name717        2    6    9    5    1    8        
Surname718     Name718        7    8    9    4    8    4        
Surname719     Name719        7    10   5    7    8    8        
Surname720     Name720        8    10   6    3    4    10       
Surname721     Name721        4    8    7    8    2    4        
Surname722     Name722        2    2    5    3    8    3        
Surname723     Name723        9    5    3    2    1    8        
Surname724     Name724        6    6    9    2    6    7        
Surname725     Name725        10   4    7    6    5    4        
Surname726     Name726        4    5    1    7    3    7        
Surname727     Name727        1    1    1    4    3    3        
Surname728     Name728        8    7    6    10   10   8        
Surname729     Name729        7    1    10   6    9    3        
Surname730     Name730        8    4    4    7    8    4        
Surname731     Name731        3    1    3    4    5    8        
Surname732     Name732        5    4    4    1    8    10       
Surname733     Name733        5    7    6    9    9    1        
Surname734     Name734        2    6    8    2    8    6        
Surname735     Name735        3    1    8    1    10   7        
Surname736     Name736        1    2    3    9    1    10       
Surname737     Name737        6    9    6    8    4    4        
Surname738     Name738        10   2    5    7    3    3        
Surname739     Name739        2    6    6    10   2    7        
Surname740     Name740        3    2    6    1    10   7        
Surname741     Name741        6    1    7    6    1    8        
Surname742     Name742        9    1    6    10   1    1        
Surname743     Name743        6    10   8    10   8    7        
Surname744     Name744        9    8    2    9    6    4        
Surname745     Name745        5    3    5    8    1    10       
Surname746     Name746        10   6    6    6    9    8        
Surname747     Name747        2    2    1    10   5    7        
Surname748     Name748        1    8    9    6    4    5        
Surname749     Name749        7    6    9    6    9    6        
Surname750     Name750        9    4    10   8    10   10       
Surname751     Name751        9    4    6    6    7    1        
Surname752     Name752        9    9    8    4    9    2        
Surname753     Name753        8    9    3    6    4    2        
Surname754     Name754        7    7    7    10   8    6        
Surname755     Name755        1    1    10   8    6    10       
Surname756     Name756        5    10   4    3    6    2        
Surname757     Name757        4    3    4    1    9    5        
Surname758     Name758        3    6    6    6    8    2        
Surname759     Name759        1    10   6    4    10   4        
Surname760     Name760        1    5    6    6    6    3        
Surname761     Name761        2    7    9    3    1    2        
Surname762     Name762        4    8    7    10   8    9        
Surname763     Name763        6    5    10   2    5    8        
Surname764     Name764        7    9    8    10   5    1        
Surname765     Name765        2    10   4    5    9    4        
Surname766     Name766        7    6    10   9    4    9        
Surname767     Name767        7    9    10   9    8    3        
Surname768     Name768        9    1    8    6    5    9        
Surname769     Name769        5    5    7    9    3    2        
Surname770     Name770        5    6    2    7    2    9        
Surname771     Name771        2    2    7    5    2    1        
Surname772     Name772        1    1    5    5    9    3        
Surname773     Name773        9    5    3    6    1    3        
Surname774     Name774        2    1    10   6    7    8        
Surname775     Name775        7    2    9    10   7    6        
Surname776     Name776        4    8    7    2    7    2        
Surname777     Name777        2    9    8    3    5    7        
Surname778     Name778        1    9    2    10   1    4        
Surname779     Name779        6    3    3    9    3    5        
Surname780     Name780        7    4    8    4    3    2        
Surname781     Name781        1    4    7    9    10   5        
Surname782     Name782        3    10   2    4    9    6        
Surname783     Name783        9    9    7    7    9    5        
Surname784     Name784        2    9    4    2    2    8        
Surname785     Name785        10   8    3    6    6    10       
Surname786     Name786        9    6    7    1    1    1        
Surname787     Name787        5    9    3    10   2    9        
Surname788     Name788        6    8    6    1    10   10       
Surname789     Name789        5    4    2    1    10   7        
Surname790     Name790        2    2    4    1    5    6        
Surname791     Name791        1    10   5    2    5    10       
Surname792     Name792        9    5    4    4    4    8        
Surname793     Name793        5    10   5    8    9    1        
Surname794     Name794        4    2    6    1    9    7        
Surname795     Name795        2    6    6    5    2    2        
Surname796     Name796        9    9    3    9    8    5        
Surname797     Name797        10   2    9    4    8    5        
Surname798     Name798        6    9    2    1    8    1        
Surname799     Name799        4    3    7    8    9    6        
Surname800     Name800        2    1    7    7    9    1        
Surname801     Name801        2    10   4    8    2    10       
Surname802     Name802        9    1    8    7    1    2        
Surname803     Name803        2    3    9    9    2    5        
Surname804     Name804        5    2    1    3    5    7        
Surname805     Name805        5    3    5    9    5    8        
Surname806     Name806        6    6    10   1    1    10       
Surname807     Name807        8    2    8    7    1    2        
Surname808     Name808        9    4    7    6    7    1        
Surname809     Name809        3    9    1    1    5    4        
Surname810     Name810        6    6    9    8    6    3        
Surname811     Name811        3    2    3    10   4    1        
Surname812     Name812        7    3    2    10   4    7        
Surname813     Name813        9    6    4    7    4    4        
Surname814     Name814        5    7    1    5    8    7        
Surname815     Name815        1    1    5    7    5    5        
Surname816     Name816        10   5    9    8    1    10       
Surname817     Name817        3    8    7    8    9    10       
Surname818     Name818        3    5    6    3    8    9        
Surname819     Name819        9    8    4    6    5    6        
Surname820     Name820        3    1    8    4    8    5        
Surname821     Name821        1    2    1    9    1    8        
Surname822     Name822        3    5    3    9    5    9        
Surname823     Name823        9    2    10   9    8    7        
Surname824     Name824        8    5    7    10   1    1        
Surname825     Name825        8    7    5    8    3    4        
Surname826     Name826        5    10   9    8    4    10       
Surname827     Name827        7    6    4    2    5    6        
Surname828     Name828        4    2    9    7    5    10       
Surname829     Name829        4    3    2    1    6    9        
Surname830     Name830        1    6    1    2    1    7        
Surname831     Name831        6    8    9    1    8    6        
Surname832     Name832        2    10   1    9    2    2        
Surname833     Name833        4    4    8    5    1    10       
Surname834     Name834        3    7    8    4    4    9        
Surname835     Name835        10   5    6    5    10   9        
Surname836     Name836        3    9    9    10   10   8        
Surname837     Name837        8    4    1    3    9    7        
Surname838     Name838        2    9    3    2    8    10       
Surname839     Name839        3    4    9    2    3    10       
Surname840     Name840        7    5    10   3    8    10       
Surname841     Name841        9    2    6    10   1    1        
Surname842     Name842        7    6    3    6    6    7        
Surname843     Name843        5    10   1    8    1    9        
Surname844     Name844        6    10   2    9    5    6        
Surname845     Name845        2    6    3    6    4    1        
Surname846     Name846        1    9    2    10   10   3        
Surname847     Name847        4    10   10   7    1    4        
Surname848     Name848        7    9    9    3    10   10       
Surname849     Name849        3    7    6    9    8    2        
Surname850     Name850        6    6    3    10   3    9        
Surname851     Name851        2    3    1    8    9    8        
Surname852     Name852        5    4    6    4    6    4        
Surname853     Name853        2    10   4    9    3    3        
Surname854     Name854        1    1    1    1    6    3        
Surname855     Name855        3    8    9    6    3    7        
Surname856     Name856        7    6    6    8    8    5        
Surname857     Name857        3    10   3    2    8    10       
Surname858     Name858        5    4    7    9    2    2        
Surname859     Name859        3    4    7    1    9    1        
Surname860     Name860        8    6    4    8    2    3        
Surname861     Name861        7    2    1    8    5    7        
Surname862     Name862        6    9    8    10   6    8        
Surname863     Name863        8    4    6    6    6    1        
Surname864     Name864        10   4    2    10   6    5        
Surname865     Name865        5    8    2    4    10   10       
Surname866     Name866        2    8    2    1    4    8        
Surname867     Name867        4    5    8    1    3    6        
Surname868     Name868        2    6    10   5    3    5        
Surname869     Name869        4    4    5    5    6    10       
Surname870     Name870        5    5    8    5    4    4        
Surname871     Name871        2    6    5    2    3    8        
Surname872     Name872        4    10   3    4    3    6        
Surname873     Name873        10   2    4    4    4    9        
Surname874     Name874        6    8    5    1    5    8        
Surname875     Name875        5    1    10   5    6    4        
Surname876     Name876        6    2    8    6    1    6        
Surname877     Name877        9    7    8    7    6    5        
Surname878     Name878        6    8    2    8    10   10       
Surname879     Name879        4    2    7    5    10   8        
Surname880     Name880        5    1    10   8    8    8        
Surname881     Name881        4    6    1    3    9    6        
Surname882     Name882        7    7    2    6    8    1        
Surname883     Name883        6    9    1    9    9    2        
Surname884     Name884        6    10   3    6    9    3        
Surname885     Name885        3    4    7    2    6    7        
Surname886     Name886        1    9    2    5    5    3        
Surname887     Name887        2    10   6    3    9    2        
Surname888     Name888        9    10   7    10   3    10       
Surname889     Name889        6    8    8    10   3    2        
Surname890     Name890        8    1    1    7    9    5        
Surname891     Name891        10   6    8    1    10   10       
Surname892     Name892        2    1    3    9    7    2        
Surname893     Name893        2    8    3    9    7    5        
Surname894     Name894        6    10   9    9    1    9        
Surname895     Name895        3    2    2    8    10   6        
Surname896     Name896        3    1    5    8    8    4        
Surname897     Name897        1    7    4    5    1    7        
Surname898     Name898        3    5    5    7    3    8        
Surname899     Name899        10   3    10   8    6    1        
Surname900     Name900        8    1    8    2    1    6        
Surname901     Name901        7    3    1    4    8    5        
Surname902     Name902        9    7    5    5    4    1        
Surname903     Name903        10   10   7    2    7    5        
Surname904     Name904        10   3    3    9    2    9        
Surname905     Name905        7    5    1    9    8    7        
Surname906     Name906        5    7    2    4    5    4        
Surname907     Name907        8    10   10   4    2    3        
Surname908     Name908        8    9    10   4    8    1        
Surname909     Name909        5    7    7    10   6    1        
Surname910     Name910        2    10   5    7    1    7        
Surname911     Name911        4    2    7    1    4    9        
Surname912     Name912        5    10   4    4    2    3        
Surname913     Name913        7    6    1    8    5    7        
Surname914     Name914        1    4    2    7    2    7        
Surname915     Name915        2    6    6    7    7    7        
Surname916     Name916        4    8    4    4    3    9        
Surname917     Name917        8    6    2    9    8    6        
Surname918     Name918        10   1    4    1    6    10       
Surname919     Name919        3    3    7    1    2    5        
Surname920     Name920        10   7    8    5    9    1        
Surname921     Name921        5    5    2    1    8    9        
Surname922     Name922        7    9    4    9    1    10       
Surname923     Name923        1    2    5    7    10   3        
Surname924     Name924        5    3    2    6    7    1        
Surname925     Name925        8    3    1    5    1    1        
Surname926     Name926        5    10   2    5    7    6        
Surname927     Name927        9    4    5    7    4    9        
Surname928     Name928        5    1    10   10   5    3        
Surname929     Name929        5    5    3    5    6    8        
Surname930     Name930        6    8    2    7    1    8        
Surname931     Name931        3    3    3    10   10   1        
Surname932     Name932        2    9    8    8    5    1        
Surname933     Name933        9    2    1    5    9    10       
Surname934     Name934        5    6    7    8    1    6        
Surname935     Name935        3    6    10   9    7    7        
Surname936     Name936        10   4    10   8    10   10       
Surname937     Name937        8    10   1    7    1    6        
Surname938     Name938        10   3    9    5    5    10       
Surname939     Name939        7    8    8    1    2    1        
Surname940     Name940        9    2    7    8    1    6        
Surname941     Name941        10   10   9    10   8    3        
Surname942     Name942        3    4    2    7    2    1        
Surname943     Name943        3    6    4    6    2    8        
Surname944     Name944        2    1    4    1    7    1        
Surname945     Name945        7    7    7    5    7    9        
Surname946     Name946        10   7    10   9    5    5        
Surname947     Name947        1    8    8    1    4    10       
Surname948     Name948        7    5    5    2    9    9        
Surname949     Name949        7    4    2    3    10   5        
Surname950     Name950        3    3    1    8    7    4        
Surname951     Name951        10   2    7    7    2    6        
Surname952     Name952        9    4    6    5    5    4        
Surname953     Name953        4    7    3    5    6    2        
Surname954     Name954        4    7    8    7    9    10       
Surname955     Name955        1    8    10   4    6    6        
Surname956     Name956        4    1    10   1    6    7        
Surname957     Name957        1    10   8    7    3    6        
Surname958     Name958        7    3    10   3    8    2        
Surname959     Name959        6    1    1    1    5    9        
Surname960     Name960        5    9    5    1    5    10       
Surname961     Name961        4    9    9    4    2    8        
Surname962     Name962        3    5    8    4    10   6        
Surname963     Name963        10   3    1    9    8    7        
Surname964     Name964        4    10   9    8    9    10       
Surname965     Name965        9    5    5    8    4    2        
Surname966     Name966        10   6    7    1    9    1        
Surname967     Name967        6    5    10   9    5    9        
Surname968     Name968        8    4    5    7    6    6        
Surname969     Name969        7    1    5    1    2    3        
Surname970     Name970        5    6    3    8    3    5        
Surname971     Name971        10   1    1    2    2    7        
Surname972     Name972        4    4    3    7    5    7        
Surname973     Name973        6    10   5    7    3    3        
Surname974     Name974        3    3    4    8    2    3        
Surname975     Name975        4    1    2    2    10   10       
Surname976     Name976        8    9    5    8    6    6        
Surname977     Name977        1    1    6    9    1    4        
Surname978     Name978        3    6    5    3    3    7        
Surname979     Name979        7    8    10   9    8    1        
Surname980     Name980        3    5    9    1    4    9        
Surname981     Name981        3    10   7    8    9    2        
Surname982     Name982        7    1    5    9    6    8        
Surname983     Name983        5    9    7    6    2    1        
Surname984     Name984        2    6    5    3    6    2        
Surname985     Name985        9    8    8    4    7    9        
Surname986     Name986        5    1    6    3    9    9        
Surname987     Name987        6    5    10   7    10   1        
Surname988     Name988        3    1    6    5    3    1        
Surname989     Name989        7    2    9    2    7    6        
Surname990     Name990        8    9    6    8    4    8        
Surname991     Name991        3    7    1    4    5    9        
Surname992     Name992        2    5    10   1    1    2        
Surname993     Name993        8    1    10   1    9    3        
Surname994     Name994        10   10   3    3    4    5        
Surname995     Name995        4    3    4    3    1    2        
Surname996     Name996        3    9    3    6    4    1        
Surname997     Name997        4    8    6    3    8    7        
Surname998     Name998        10   8    7    5    2    5        
Surname999     Name999        3    9    5    10   9    3        
Surname1000    Name1000       3    7    6    5    8    8        
